DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/14 17:26:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,4,0.0,0.23,-22.80158,-47.04255,5.9
2024/03/14 17:26:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,4,0.0,-999.0,-22.79265,-47.04412,11.0
2024/04/04 17:07:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,6,0.0,0.54,-22.77153,-47.02014,10.6
2024/04/28 17:09:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,7,0.0,1.0,-22.84507,-47.01724,13.7
2024/05/04 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.94129,-47.18976,129.0
2024/05/04 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.93782,-47.18546,267.6
2024/05/04 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.93713,-47.1679,168.0
2024/05/04 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.93349,-47.1636,128.1
2024/05/04 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.92423,-47.17094,48.4
2024/05/08 17:24:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,20,0.0,1.0,-22.78314,-47.06516,8.4
2024/05/12 16:52:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,25,0.0,1.0,-23.01427,-47.21412,44.4
2024/05/12 16:52:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,25,0.0,1.0,-23.0046,-47.21957,106.1
2024/05/13 17:34:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,26,0.0,-999.0,-22.82482,-47.10371,6.9
2024/05/13 17:34:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,25,0.0,-999.0,-22.82334,-47.09393,7.2
2024/05/13 17:34:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,25,0.0,-999.0,-22.82185,-47.08412,8.6
2024/06/13 17:22:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.87234,-47.13351,77.3
2024/06/13 17:22:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,1.0,-22.87087,-47.12208,65.0
2024/06/13 17:22:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,-999.0,-22.8627,-47.13501,6.9
2024/06/13 17:22:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,17,0.0,1.0,-22.86124,-47.12363,10.0
2024/06/21 17:52:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,25,0.0,1.0,-23.02624,-47.15863,9.1
2024/07/24 17:20:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,13,0.0,1.0,-22.9618,-47.21274,8.9
2024/08/05 17:17:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,6,0.0,1.0,-22.82522,-47.00066,24.6
2024/08/08 17:39:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Cerrado,9,0.0,1.0,-22.73873,-47.07261,4.8
2024/08/22 17:17:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,12,0.0,-999.0,-22.90999,-47.16828,282.7
2024/08/22 17:17:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,12,0.0,1.0,-22.90813,-47.15213,31.8
2024/08/23 17:56:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,13,0.0,-999.0,-22.90864,-47.16489,133.3
2024/08/23 17:56:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,13,0.0,0.92,-22.83184,-46.92683,70.1
2024/08/23 17:56:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,13,0.0,1.0,-22.82911,-46.91167,31.8
2024/08/24 17:00:00,AQUA_M-T,Brasil,SÃO PAULO,CAMPINAS,Mata Atlântica,13,0.18,0.83,-22.91416,-47.16868,33.4
